epoch,step,train_loss_epoch,train_loss_step,val_acc_epoch,val_acc_step,val_loss_epoch,val_loss_step
0,49,,1.646723985671997,,,,
,0,,,,0.8984375,,1.4815164804458618
,1,,,,0.8984375,,1.6240805387496948
,2,,,,0.875,,1.574486494064331
,3,,,,0.90625,,1.4837632179260254
,4,,,,0.921875,,1.4888345003128052
,5,,,,0.90625,,1.41640305519104
,6,,,,0.921875,,1.393597960472107
,7,,,,0.9019607901573181,,1.5397775173187256
0,66,,,0.903907060623169,,1.4970982074737549,
0,66,1.816236138343811,,,,,
1,99,,1.5314879417419434,,,,
,8,,,,0.9140625,,1.3406277894973755
,9,,,,0.90625,,1.533691167831421
,10,,,,0.9140625,,1.453037977218628
,11,,,,0.9453125,,1.3021761178970337
,12,,,,0.9296875,,1.2705371379852295
,13,,,,0.9140625,,1.2468528747558594
,14,,,,0.921875,,1.2919647693634033
,15,,,,0.8627451062202454,,1.3096388578414917
1,133,,,0.9176346063613892,,1.3463244438171387,
1,133,1.6022337675094604,,,,,
2,149,,1.6382367610931396,,,,
